City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangnirtung,66.1451,-65.7125,241.15,62,20,0.0,CA,1676655152
1,kaitangata,-46.2817,169.8464,283.4,94,78,1.65,NZ,1676655153
2,ushuaia,-54.8,-68.3,285.96,71,40,6.69,AR,1676655153
3,morant bay,17.8815,-76.4093,302.99,66,4,5.42,JM,1676655154
4,kavaratti,10.5669,72.642,299.71,69,22,2.4,IN,1676655154
5,barrow,71.2906,-156.7887,246.16,83,75,2.06,US,1676655155
6,presidencia roque saenz pena,-26.7852,-60.4388,296.72,21,18,8.06,AR,1676655156
7,castro,-24.7911,-50.0119,293.11,85,100,3.36,BR,1676655156
8,daru,-9.0763,143.2092,298.44,88,100,2.67,PG,1676655157
9,port alfred,-33.5906,26.891,292.69,95,98,0.45,ZA,1676655157
10,mbaiki,3.8678,17.9892,299.71,25,99,0.72,CF,1676655157
11,bethel,41.3712,-73.414,288.08,83,100,0.89,US,1676655158
12,mahebourg,-20.4081,57.7,298.31,83,40,1.54,MU,1676655158
13,jamestown,42.097,-79.2353,269.92,97,100,7.2,US,1676655159
14,rikitea,-23.1203,-134.9692,299.64,75,12,6.47,PF,1676655159
15,raga,8.4596,25.678,296.4,18,90,2.14,SS,1676655159
16,arraial do cabo,-22.9661,-42.0278,307.13,62,0,7.2,BR,1676654871
17,mataura,-46.1927,168.8643,282.44,99,72,1.12,NZ,1676655160
18,upernavik,72.7868,-56.1549,245.13,97,88,3.67,GL,1676655160
19,hermanus,-34.4187,19.2345,292.48,79,95,5.82,ZA,1676655161
20,coquimbo,-29.9533,-71.3436,296.0,64,0,6.17,CL,1676654903
21,shache,38.4167,77.2406,275.33,53,55,2.61,CN,1676655161
22,avarua,-21.2078,-159.775,299.18,89,75,1.54,CK,1676655162
23,tupik,54.4253,119.9327,246.14,99,83,1.28,RU,1676655162
24,khatanga,71.9667,102.5,239.26,100,96,1.68,RU,1676655163
25,albany,42.6001,-73.9662,280.19,81,100,1.34,US,1676655051
26,cayenne,4.9333,-52.3333,303.17,66,40,6.69,GF,1676654870
27,chilca,-12.5211,-76.7372,298.08,76,82,3.5,PE,1676655164
28,cape town,-33.9258,18.4232,295.38,68,20,11.32,ZA,1676655082
29,srivardhan,18.0333,73.0167,298.74,41,2,2.44,IN,1676655164
30,ojhar,20.1,73.9333,295.41,18,0,2.04,IN,1676655164
31,okha,53.5739,142.9478,244.66,100,76,3.01,RU,1676655165
32,thompson,55.7435,-97.8558,255.24,71,40,5.66,CA,1676655165
33,tasiilaq,65.6145,-37.6368,262.24,70,93,1.85,GL,1676655165
34,kodiak,57.79,-152.4072,276.88,56,40,9.26,US,1676655166
35,bambous virieux,-20.3428,57.7575,298.29,83,40,1.54,MU,1676655166
36,altamirano,16.8833,-92.15,291.91,63,85,2.25,MX,1676655167
37,sambava,-14.2667,50.1667,299.08,83,67,1.17,MG,1676655167
38,iskateley,67.6803,53.1512,260.93,89,16,6.93,RU,1676655167
39,saint-philippe,-21.3585,55.7679,299.92,83,58,4.78,RE,1676655168
40,hami,42.8,93.45,271.56,34,0,4.93,CN,1676655168
41,mar del plata,-38.0023,-57.5575,290.34,53,75,8.23,AR,1676654932
42,kapaa,22.0752,-159.319,293.33,91,75,2.06,US,1676655169
43,katsuura,35.1333,140.3,281.23,68,2,3.03,JP,1676655169
44,lebu,-37.6167,-73.65,292.82,44,3,10.1,CL,1676655169
45,kondinskoye,59.6481,67.41,252.05,100,28,2.17,RU,1676655170
46,biak,-0.9131,122.8766,298.07,84,97,1.92,ID,1676655170
47,lavrentiya,65.5833,-171.0,244.66,93,100,6.17,RU,1676655170
48,ust-maya,60.4167,134.5333,237.25,100,94,0.81,RU,1676655171
49,qaanaaq,77.484,-69.3632,249.42,76,100,0.91,GL,1676655171
50,papar,5.7333,115.9333,297.15,88,100,1.23,MY,1676655172
51,touros,-5.1989,-35.4608,303.18,58,99,6.56,BR,1676654929
52,leningradskiy,69.3833,178.4167,234.87,99,96,1.81,RU,1676655172
53,hobart,-42.8794,147.3294,288.18,84,51,1.54,AU,1676655157
54,kutum,14.2,24.6667,289.59,16,0,5.99,SD,1676655173
